slug,title,url,kind,author,published,modified,topics,tags,reading_time,featured_image,description,word_count
rot13-implementation-in-haskell,Rot13 implementation in Haskell,https://arnon.dk/rot13-implementation-in-haskell/,post,Arnon Shimoni,2014-10-10T23:32:08+00:00,2014-11-15T15:04:40+00:00,haskell,haskell;rot13,1 minute,,Rot13 is a simple Caeser-cypher where letters are replaced by shifting them by 13 places. > import Data.Maybe (fromMaybe) > rot13 :: String -> String > rot13 s = map rotchar s > where we'll first look in the lowercase letters > rotchar c = case (lookup c $ transp lc) of > Just x […],209
ive-managed-to-compile-ghc-7-8-3-on-an-nvidia-tegra-jetson-k1,I’ve managed to compile GHC-7.8.3 on an Nvidia Tegra (Jetson K1) and Adapteva Parallella-16!,https://arnon.dk/ive-managed-to-compile-ghc-7-8-3-on-an-nvidia-tegra-jetson-k1/,post,Arnon Shimoni,2014-11-11T08:47:41+00:00,2014-11-16T13:27:44+00:00,haskell;IT,adapteva;arm;armv7;clang;gcc;ghc;ghc-7.8.3;it;jetson;jetson k1;llvm;nvidia;parallella;tegra,1 minute,https://arnon.dk/wp-content/uploads/2014/11/nvidiajetsontk.png,"It took a while, but I’ve finally managed to compile and run GHC-7.8.3 on an Nvidia Jetson K1 board. The Jetson K1 board has a 32-bit Nvidia Tegra processor (essentially a quad-core ARM Cortex A15), and an integrated 192 core Nvidia GPU. Mine came with a standard Ubuntu 14.04 distribution and nothing more really. After […]",277
haskell-programmers,Haskell programmers,https://arnon.dk/haskell-programmers/,post,Arnon Shimoni,2015-10-27T17:22:30+00:00,,Uncategorized,,,,Dropping so many $ while earning so few $,9
restoring-a-jetson-tk1-or-how-our-first-jetson-tk1-just-died,Backing up and restoring a Jetson TK1 – or how our first Jetson TK1 just died….,https://arnon.dk/restoring-a-jetson-tk1-or-how-our-first-jetson-tk1-just-died/,post,Arnon Shimoni,2015-04-16T16:30:50+00:00,2017-05-16T12:54:32+00:00,GPUs;IT,arm;centos;jetson;jetson k1;nvidia;ubuntu,2 minutes,,"Unfortunately, our first Jetson TK1 board just died. Overnight, the board shut down at some point and in the morning it wouldn’t boot up. No SSH access, no ping and no output over HDMI. While a lot of the data was saved on an external hard-drive, some data was saved on the on-board eMMC, due to […]",392
where-are-the-gpu-based-sql-databases,Where are the GPU based SQL databases?,https://arnon.dk/where-are-the-gpu-based-sql-databases/,post,Arnon Shimoni,2015-05-06T01:09:30+00:00,2017-05-16T12:54:39+00:00,Databases;SQream DB,big data;big data analytics;databases;gpu;ibm;sql,7 minutes,http://blog.sqreamtech.com/wp-content/uploads/2015/05/SQL2.png,"The following is a blog post I wrote for the SQream Technologies blog. Data processing and gathering has come a long way since the initial automation improvements in the late 19th century. Despite a plethora of academic research, we have yet to see a market ready GPU based SQL database. Until now. Humble beginnings The […]",1308
the-importance-of-good-error-messages,How do you write good error messages?,https://arnon.dk/the-importance-of-good-error-messages/,post,Arnon Shimoni,2015-03-09T21:33:41+00:00,2019-08-16T14:44:04+00:00,Talks,error;good error messages;how to write error messages;messages;start up;ux,4 minutes,https://arnon.dk/wp-content/uploads/2015/03/ErrorScan4.jpg,"Developing software in a start up has exposed me to some pretty bad error messages. Back when the company had little to no customers, this wasn’t a big deal. However, our recent influx of new customers requires a little more attention in curating proper error messages. I gathered all of our developers and we did […]",775
2020-is-here-why-are-we-still-using-1980s-tech,2020 is here! Why are we still using 1980s tech?,https://arnon.dk/2020-is-here-why-are-we-still-using-1980s-tech/,post,Arnon Shimoni,2020-05-04T21:27:56+00:00,2020-09-03T15:24:45+00:00,Uncategorized,,,,"Before COVID-19 hit in full force, I went to Warsaw for the Big Data Tech show to give a short 15 minute talk. For your viewing pleasure, here it is! Slides are available on SlideShare It's 2020 – Why are we still using 1980s technology? from Arnon Shimoni",48
your-dbms-is-slow-what-do-you-do,Your DBMS is slow. What do you do?,https://arnon.dk/your-dbms-is-slow-what-do-you-do/,post,Arnon Shimoni,2020-04-28T17:36:21+00:00,2020-09-03T15:24:45+00:00,Uncategorized,,5 minutes,https://sqream.com/wp-content/uploads/image-1.png,I first used SQL for an online blogging platform I was building in Perl back in 1999. Moving from a flat-file to MySQL was truly a lifechanging experience. The (then) four-year-old DBMS had a nice little set of features and optimizations that I could easily apply and get a decent performance boost. Call me a […],1054
no-your-job-isnt-to-say-no,"No, your job isn’t to say “no”",https://arnon.dk/no-your-job-isnt-to-say-no/,post,Arnon Shimoni,2020-08-19T21:00:59+00:00,2020-09-03T15:24:45+00:00,product management,,1 minute,https://arnon.dk/wp-content/uploads/2020/08/No-your-job-isnt-to-say-no-copy.png,"A common trope I’ve seen repeated many times, is that it’s a product manager’s job to say no. This is wrong. It’s a very dangerous thing to get into young product managers’ heads. Saying no is absolutely not your job. You don’t need to say no. Saying no doesn’t accomplish anything. It doesn’t make you […]",177
installing-nvidia-docker,Quickstart – Installing nvidia docker in one guide,https://arnon.dk/installing-nvidia-docker/,post,Arnon Shimoni,2019-04-02T08:36:39+00:00,2020-09-03T15:24:46+00:00,Uncategorized,,3 minutes,,"I have been frustrated when trying to install nvidia-docker, because the guides are split over several documents. NVIDIA’s own documents tell you to go install Docker first, but don’t tell you how. For Ubuntu 16 and 18, here are all the steps you need, one by one: Install Docker CE sudo apt update sudo apt […]",568
