rule_id,from_ziffer,to_ziffer,direction,legal_basis,quote,verified,verified_at,source,parser_verdict,parser_reason,parser_provision
excl_auto_30_4,30,4,one_way,GOÄ Anmerkung zu Nummer 4,"Die Leistung nach Nummer 4 ist neben den Leistungen nach den Nummern 30, 34, 801, 806, 807, 816, 817 und/oder 835 nicht berechnungsfähig.",true,2026-08-29,deterministic_parser:auto_extracted:ist_neben,CONFIRMED,form_A,"Die Leistung nach Nummer 4 ist neben den Leistungen nach den Nummern 30, 34, 801, 806, 807, 816, 817 und/oder 835 nicht berechnungsfähig."
excl_auto_34_4,34,4,one_way,GOÄ Anmerkung zu Nummer 4,"Die Leistung nach Nummer 4 ist neben den Leistungen nach den Nummern 30, 34, 801, 806, 807, 816, 817 und/oder 835 nicht berechnungsfähig.",true,2026-08-29,deterministic_parser:auto_extracted:ist_neben,CONFIRMED,form_A,"Die Leistung nach Nummer 4 ist neben den Leistungen nach den Nummern 30, 34, 801, 806, 807, 816, 817 und/oder 835 nicht berechnungsfähig."
excl_auto_801_4,801,4,one_way,GOÄ Anmerkung zu Nummer 4,"Die Leistung nach Nummer 4 ist neben den Leistungen nach den Nummern 30, 34, 801, 806, 807, 816, 817 und/oder 835 nicht berechnungsfähig.",true,2026-08-29,deterministic_parser:auto_extracted:ist_neben,CONFIRMED,form_A,"Die Leistung nach Nummer 4 ist neben den Leistungen nach den Nummern 30, 34, 801, 806, 807, 816, 817 und/oder 835 nicht berechnungsfähig."
excl_auto_806_4,806,4,one_way,GOÄ Anmerkung zu Nummer 4,"Die Leistung nach Nummer 4 ist neben den Leistungen nach den Nummern 30, 34, 801, 806, 807, 816, 817 und/oder 835 nicht berechnungsfähig.",true,2026-08-29,deterministic_parser:auto_extracted:ist_neben,CONFIRMED,form_A,"Die Leistung nach Nummer 4 ist neben den Leistungen nach den Nummern 30, 34, 801, 806, 807, 816, 817 und/oder 835 nicht berechnungsfähig."
excl_auto_807_4,807,4,one_way,GOÄ Anmerkung zu Nummer 4,"Die Leistung nach Nummer 4 ist neben den Leistungen nach den Nummern 30, 34, 801, 806, 807, 816, 817 und/oder 835 nicht berechnungsfähig.",true,2026-08-29,deterministic_parser:auto_extracted:ist_neben,CONFIRMED,form_A,"Die Leistung nach Nummer 4 ist neben den Leistungen nach den Nummern 30, 34, 801, 806, 807, 816, 817 und/oder 835 nicht berechnungsfähig."
excl_auto_816_4,816,4,one_way,GOÄ Anmerkung zu Nummer 4,"Die Leistung nach Nummer 4 ist neben den Leistungen nach den Nummern 30, 34, 801, 806, 807, 816, 817 und/oder 835 nicht berechnungsfähig.",true,2026-08-29,deterministic_parser:auto_extracted:ist_neben,CONFIRMED,form_A,"Die Leistung nach Nummer 4 ist neben den Leistungen nach den Nummern 30, 34, 801, 806, 807, 816, 817 und/oder 835 nicht berechnungsfähig."
excl_auto_817_4,817,4,one_way,GOÄ Anmerkung zu Nummer 4,"Die Leistung nach Nummer 4 ist neben den Leistungen nach den Nummern 30, 34, 801, 806, 807, 816, 817 und/oder 835 nicht berechnungsfähig.",true,2026-08-29,deterministic_parser:auto_extracted:ist_neben,CONFIRMED,form_A,"Die Leistung nach Nummer 4 ist neben den Leistungen nach den Nummern 30, 34, 801, 806, 807, 816, 817 und/oder 835 nicht berechnungsfähig."
excl_auto_835_4,835,4,one_way,GOÄ Anmerkung zu Nummer 4,"Die Leistung nach Nummer 4 ist neben den Leistungen nach den Nummern 30, 34, 801, 806, 807, 816, 817 und/oder 835 nicht berechnungsfähig.",true,2026-08-29,deterministic_parser:auto_extracted:ist_neben,CONFIRMED,form_A,"Die Leistung nach Nummer 4 ist neben den Leistungen nach den Nummern 30, 34, 801, 806, 807, 816, 817 und/oder 835 nicht berechnungsfähig."
excl_auto_6_5,6,5,mutual,GOÄ Anmerkung zu Nummer 5,Die Leistung nach Nummer 5 ist neben den Leistungen nach den Nummern 6 bis 8 nicht berechnungsfähig.,true,2026-08-29,deterministic_parser:auto_extracted:ist_neben:range[6-8(3)],CONFIRMED,form_A,Die Leistung nach Nummer 5 ist neben den Leistungen nach den Nummern 6 bis 8 nicht berechnungsfähig.
excl_auto_7_5,7,5,mutual,GOÄ Anmerkung zu Nummer 5,Die Leistung nach Nummer 5 ist neben den Leistungen nach den Nummern 6 bis 8 nicht berechnungsfähig.,true,2026-08-29,deterministic_parser:auto_extracted:ist_neben:range[6-8(3)],CONFIRMED,form_A,Die Leistung nach Nummer 5 ist neben den Leistungen nach den Nummern 6 bis 8 nicht berechnungsfähig.
excl_auto_8_5,8,5,mutual,GOÄ Anmerkung zu Nummer 5,Die Leistung nach Nummer 5 ist neben den Leistungen nach den Nummern 6 bis 8 nicht berechnungsfähig.,true,2026-08-29,deterministic_parser:auto_extracted:ist_neben:range[6-8(3)],CONFIRMED,form_A,Die Leistung nach Nummer 5 ist neben den Leistungen nach den Nummern 6 bis 8 nicht berechnungsfähig.
excl_auto_5_6,5,6,mutual,GOÄ Anmerkung zu Nummer 6,"Die Leistung nach Nummer 6 ist neben den Leistungen nach den Nummern 5, 7 und/oder 8 nicht berechnungsfähig.",true,2026-08-29,deterministic_parser:auto_extracted:ist_neben,CONFIRMED,form_A,"Die Leistung nach Nummer 6 ist neben den Leistungen nach den Nummern 5, 7 und/oder 8 nicht berechnungsfähig."
excl_auto_7_6,7,6,mutual,GOÄ Anmerkung zu Nummer 6,"Die Leistung nach Nummer 6 ist neben den Leistungen nach den Nummern 5, 7 und/oder 8 nicht berechnungsfähig.",true,2026-08-29,deterministic_parser:auto_extracted:ist_neben,CONFIRMED,form_A,"Die Leistung nach Nummer 6 ist neben den Leistungen nach den Nummern 5, 7 und/oder 8 nicht berechnungsfähig."
excl_auto_8_6,8,6,mutual,GOÄ Anmerkung zu Nummer 6,"Die Leistung nach Nummer 6 ist neben den Leistungen nach den Nummern 5, 7 und/oder 8 nicht berechnungsfähig.",true,2026-08-29,deterministic_parser:auto_extracted:ist_neben,CONFIRMED,form_A,"Die Leistung nach Nummer 6 ist neben den Leistungen nach den Nummern 5, 7 und/oder 8 nicht berechnungsfähig."
excl_auto_5_7,5,7,mutual,GOÄ Anmerkung zu Nummer 7,"Die Leistung nach Nummer 7 ist neben den Leistungen nach den Nummern 5, 6 und/oder 8 nicht berechnungsfähig.",true,2026-08-29,deterministic_parser:auto_extracted:ist_neben,CONFIRMED,form_A,"Die Leistung nach Nummer 7 ist neben den Leistungen nach den Nummern 5, 6 und/oder 8 nicht berechnungsfähig."
excl_auto_6_7,6,7,mutual,GOÄ Anmerkung zu Nummer 7,"Die Leistung nach Nummer 7 ist neben den Leistungen nach den Nummern 5, 6 und/oder 8 nicht berechnungsfähig.",true,2026-08-29,deterministic_parser:auto_extracted:ist_neben,CONFIRMED,form_A,"Die Leistung nach Nummer 7 ist neben den Leistungen nach den Nummern 5, 6 und/oder 8 nicht berechnungsfähig."
excl_auto_8_7,8,7,mutual,GOÄ Anmerkung zu Nummer 7,"Die Leistung nach Nummer 7 ist neben den Leistungen nach den Nummern 5, 6 und/oder 8 nicht berechnungsfähig.",true,2026-08-29,deterministic_parser:auto_extracted:ist_neben,CONFIRMED,form_A,"Die Leistung nach Nummer 7 ist neben den Leistungen nach den Nummern 5, 6 und/oder 8 nicht berechnungsfähig."
excl_auto_5_8,5,8,mutual,GOÄ Anmerkung zu Nummer 8,"Die Leistung nach Nummer 8 ist neben den Leistungen nach den Nummern 5, 6, 7 und/oder 800 nicht berechnungsfähig.",true,2026-08-29,deterministic_parser:auto_extracted:ist_neben,CONFIRMED,form_A,"Die Leistung nach Nummer 8 ist neben den Leistungen nach den Nummern 5, 6, 7 und/oder 800 nicht berechnungsfähig."
excl_auto_6_8,6,8,mutual,GOÄ Anmerkung zu Nummer 8,"Die Leistung nach Nummer 8 ist neben den Leistungen nach den Nummern 5, 6, 7 und/oder 800 nicht berechnungsfähig.",true,2026-08-29,deterministic_parser:auto_extracted:ist_neben,CONFIRMED,form_A,"Die Leistung nach Nummer 8 ist neben den Leistungen nach den Nummern 5, 6, 7 und/oder 800 nicht berechnungsfähig."
excl_auto_7_8,7,8,mutual,GOÄ Anmerkung zu Nummer 8,"Die Leistung nach Nummer 8 ist neben den Leistungen nach den Nummern 5, 6, 7 und/oder 800 nicht berechnungsfähig.",true,2026-08-29,deterministic_parser:auto_extracted:ist_neben,CONFIRMED,form_A,"Die Leistung nach Nummer 8 ist neben den Leistungen nach den Nummern 5, 6, 7 und/oder 800 nicht berechnungsfähig."
excl_auto_800_8,800,8,one_way,GOÄ Anmerkung zu Nummer 8,"Die Leistung nach Nummer 8 ist neben den Leistungen nach den Nummern 5, 6, 7 und/oder 800 nicht berechnungsfähig.",true,2026-08-29,deterministic_parser:auto_extracted:ist_neben,CONFIRMED,form_A,"Die Leistung nach Nummer 8 ist neben den Leistungen nach den Nummern 5, 6, 7 und/oder 800 nicht berechnungsfähig."
excl_auto_20_847,20,847,one_way,GOÄ Anmerkung zu Nummer 20,"Neben der Leistung nach Nummer 20 sind die Leistungen nach den Nummern 847, 862, 864, 871 und/oder 887 nicht berechnungsfähig.",true,2026-08-29,deterministic_parser:auto_extracted:neben_sind,CONFIRMED,form_B,"Neben der Leistung nach Nummer 20 sind die Leistungen nach den Nummern 847, 862, 864, 871 und/oder 887 nicht berechnungsfähig."
excl_auto_20_862,20,862,one_way,GOÄ Anmerkung zu Nummer 20,"Neben der Leistung nach Nummer 20 sind die Leistungen nach den Nummern 847, 862, 864, 871 und/oder 887 nicht berechnungsfähig.",true,2026-08-29,deterministic_parser:auto_extracted:neben_sind,CONFIRMED,form_B,"Neben der Leistung nach Nummer 20 sind die Leistungen nach den Nummern 847, 862, 864, 871 und/oder 887 nicht berechnungsfähig."
excl_auto_20_864,20,864,one_way,GOÄ Anmerkung zu Nummer 20,"Neben der Leistung nach Nummer 20 sind die Leistungen nach den Nummern 847, 862, 864, 871 und/oder 887 nicht berechnungsfähig.",true,2026-08-29,deterministic_parser:auto_extracted:neben_sind,CONFIRMED,form_B,"Neben der Leistung nach Nummer 20 sind die Leistungen nach den Nummern 847, 862, 864, 871 und/oder 887 nicht berechnungsfähig."
excl_auto_20_871,20,871,one_way,GOÄ Anmerkung zu Nummer 20,"Neben der Leistung nach Nummer 20 sind die Leistungen nach den Nummern 847, 862, 864, 871 und/oder 887 nicht berechnungsfähig.",true,2026-08-29,deterministic_parser:auto_extracted:neben_sind,CONFIRMED,form_B,"Neben der Leistung nach Nummer 20 sind die Leistungen nach den Nummern 847, 862, 864, 871 und/oder 887 nicht berechnungsfähig."
