category,threshold,max,legal_basis,verified,verified_at
A,1.8,2.5,§ 5 Abs. 3 GOÄ,true,2026-07-25
B,2.3,3.5,"§ 5 Abs. 1, 2 GOÄ",true,2026-07-25
C,2.3,3.5,"§ 5 Abs. 1, 2 GOÄ",true,2026-07-25
D,2.3,3.5,"§ 5 Abs. 1, 2 GOÄ",true,2026-07-25
E,1.8,2.5,§ 5 Abs. 3 GOÄ,true,2026-07-25
F,2.3,3.5,"§ 5 Abs. 1, 2 GOÄ",true,2026-07-25
G,2.3,3.5,"§ 5 Abs. 1, 2 GOÄ",true,2026-07-25
H,2.3,3.5,"§ 5 Abs. 1, 2 GOÄ",true,2026-07-25
I,2.3,3.5,"§ 5 Abs. 1, 2 GOÄ",true,2026-07-25
J,2.3,3.5,"§ 5 Abs. 1, 2 GOÄ",true,2026-07-25
K,2.3,3.5,"§ 5 Abs. 1, 2 GOÄ",true,2026-07-25
L,2.3,3.5,"§ 5 Abs. 1, 2 GOÄ",true,2026-07-25
M,1.15,1.3,§ 5 Abs. 4 GOÄ,true,2026-07-25
N,2.3,3.5,"§ 5 Abs. 1, 2 GOÄ",true,2026-07-25
O,1.8,2.5,§ 5 Abs. 3 GOÄ,true,2026-07-25
P,2.3,3.5,"§ 5 Abs. 1, 2 GOÄ",true,2026-07-25
