rule_id,ziffer,max_factor,legal_basis,quote,verified,verified_at,source
cap_auto_52,52,1.0,GOÄ Anmerkung zu Nummer 52,Die Pauschalgebühr nach Nummer 52 ist nur mit dem einfachen Gebührensatz berechnungsfähig.,false,,auto_extracted:einfacher_gebuehrensatz
cap_auto_5377,5377,1.0,GOÄ Anmerkung zu Nummer 5377,Der Zuschlag nach Nummer 5377 ist nur mit dem einfachen Gebührensatz berechnungsfähig.,false,,auto_extracted:einfacher_gebuehrensatz
cap_auto_5732,5732,1.0,GOÄ Anmerkung zu Nummer 5732,Der Zuschlag nach Nummer 5732 ist nur mit dem einfachen Gebührensatz berechnungsfähig.,false,,auto_extracted:einfacher_gebuehrensatz
cap_auto_5733,5733,1.0,GOÄ Anmerkung zu Nummer 5733,Der Zuschlag nach Nummer 5733 ist nur mit dem einfachen Gebührensatz berechnungsfähig.,false,,auto_extracted:einfacher_gebuehrensatz
cap_auto_5803,5803,1.0,GOÄ Anmerkung zu Nummer 5803,Der Zuschlag nach Nummer 5803 ist nur mit dem einfachen Gebührensatz berechnungsfähig.,false,,auto_extracted:einfacher_gebuehrensatz
cap_auto_5832,5832,1.0,GOÄ Anmerkung zu Nummer 5832,Der Zuschlag nach Nummer 5832 ist nur mit dem einfachen Gebührensatz berechnungsfähig.,false,,auto_extracted:einfacher_gebuehrensatz
cap_auto_5833,5833,1.0,GOÄ Anmerkung zu Nummer 5833,Der Zuschlag nach Nummer 5833 ist nur mit dem einfachen Gebührensatz berechnungsfähig.,false,,auto_extracted:einfacher_gebuehrensatz
cap_auto_5841,5841,1.0,GOÄ Anmerkung zu Nummer 5841,Der Zuschlag nach Nummer 5841 ist nur mit dem einfachen Gebührensatz berechnungsfähig.,false,,auto_extracted:einfacher_gebuehrensatz
cap_auto_102,102,1.0,GOÄ Allgemeine Bestimmung,Die Leistungen nach den Nummern 100 und 101 sowie der Zuschlag nach Nummer 102 sind nur mit dem einfachen Gebührensatz berechnungsfähig.,false,,auto_extracted:einfacher_gebuehrensatz
cap_auto_401,401,1.0,GOÄ Allgemeine Bestimmung,Die Zuschläge nach den Nummern 401 sowie 404 bis 406 sind nur mit dem einfachen Gebührensatz berechnungsfähig.,false,,auto_extracted:einfacher_gebuehrensatz
cap_auto_404,404,1.0,GOÄ Allgemeine Bestimmung,Die Zuschläge nach den Nummern 401 sowie 404 bis 406 sind nur mit dem einfachen Gebührensatz berechnungsfähig.,false,,auto_extracted:einfacher_gebuehrensatz
cap_auto_405,405,1.0,GOÄ Allgemeine Bestimmung,Die Zuschläge nach den Nummern 401 sowie 404 bis 406 sind nur mit dem einfachen Gebührensatz berechnungsfähig.,false,,auto_extracted:einfacher_gebuehrensatz
cap_auto_406,406,1.0,GOÄ Allgemeine Bestimmung,Die Zuschläge nach den Nummern 401 sowie 404 bis 406 sind nur mit dem einfachen Gebührensatz berechnungsfähig.,false,,auto_extracted:einfacher_gebuehrensatz
cap_auto_440,440,1.0,GOÄ Allgemeine Bestimmung,Die Zuschläge nach den Nummern 440 bis 449 sind nur mit dem einfachen Gebührensatz berechnungsfähig.,false,,auto_extracted:einfacher_gebuehrensatz
cap_auto_442,442,1.0,GOÄ Allgemeine Bestimmung,Die Zuschläge nach den Nummern 440 bis 449 sind nur mit dem einfachen Gebührensatz berechnungsfähig.,false,,auto_extracted:einfacher_gebuehrensatz
cap_auto_443,443,1.0,GOÄ Allgemeine Bestimmung,Die Zuschläge nach den Nummern 440 bis 449 sind nur mit dem einfachen Gebührensatz berechnungsfähig.,false,,auto_extracted:einfacher_gebuehrensatz
cap_auto_444,444,1.0,GOÄ Allgemeine Bestimmung,Die Zuschläge nach den Nummern 440 bis 449 sind nur mit dem einfachen Gebührensatz berechnungsfähig.,false,,auto_extracted:einfacher_gebuehrensatz
cap_auto_445,445,1.0,GOÄ Allgemeine Bestimmung,Die Zuschläge nach den Nummern 440 bis 449 sind nur mit dem einfachen Gebührensatz berechnungsfähig.,false,,auto_extracted:einfacher_gebuehrensatz
cap_auto_446,446,1.0,GOÄ Allgemeine Bestimmung,Die Zuschläge nach den Nummern 440 bis 449 sind nur mit dem einfachen Gebührensatz berechnungsfähig.,false,,auto_extracted:einfacher_gebuehrensatz
cap_auto_447,447,1.0,GOÄ Allgemeine Bestimmung,Die Zuschläge nach den Nummern 440 bis 449 sind nur mit dem einfachen Gebührensatz berechnungsfähig.,false,,auto_extracted:einfacher_gebuehrensatz
cap_auto_448,448,1.0,GOÄ Allgemeine Bestimmung,Die Zuschläge nach den Nummern 440 bis 449 sind nur mit dem einfachen Gebührensatz berechnungsfähig.,false,,auto_extracted:einfacher_gebuehrensatz
cap_auto_449,449,1.0,GOÄ Allgemeine Bestimmung,Die Zuschläge nach den Nummern 440 bis 449 sind nur mit dem einfachen Gebührensatz berechnungsfähig.,false,,auto_extracted:einfacher_gebuehrensatz
