"company_name","tier","category","specialty_or_focus","city, bundesland","website","decision_maker_name","decision_maker_role","email","phone","linkedin_url","goae_evidence","fit_score","outreach_angle"
"AeV Gesellschaft für Abrechnung von Privatliquidationen AG","1","Abrechnungsstelle","multi-specialty PVS","München, Bayern","https://aev.de/","TBD","Vorstand","info@aev.de","089/89 60 10 0","TBD","Website states 'GOÄ-konforme Privatpatientenabrechnung' for physicians and clinics.",10,"Processes GOÄ for clinics & physicians nationwide; high-volume automation potential."
"PVS Schleswig-Holstein • Hamburg rkV","1","Abrechnungsstelle","multi-specialty PVS","Hamburg, Hamburg","https://www.pvs-se.de/","Thomas Hellmann","Leitung Geschäftsstelle Hamburg","info@pvs-se.de","+49 4551 809-150","TBD","Site states 'Profitieren Sie von 100 Jahren Erfahrung in der Privatabrechnung.'",10,"100 years of GOÄ experience; massive scale makes manual audit a critical bottleneck."
"Kölner Abrechnungsdienst Heiartz & Vogel oHG","1","Abrechnungsstelle","multi-specialty PVS","Köln, NRW","https://www.koelner-abrechnungsdienst.de/","Heiartz & Vogel","Inhaber","info@kad-koeln.de","0221 / 9486 49 - 0","TBD","States 'Wir übernehmen als Abrechnungsservice für Ärzte die komplette Privatabrechnung'.",9,"30+ years serving 850+ clients; high incentive to reduce GOÄ audit overhead."
"PVS Sachsen GmbH","1","Abrechnungsstelle","multi-specialty PVS","Dresden, Sachsen","https://www.pvs-sachsen.de/","TBD","Geschäftsführung","info@pvs-sachsen.de","+49 351 89813-60","TBD","States 'Professionelle GOÄ-Privatabrechnung für Ärzte: Schnell, rechtskonform und zuverlässig.'",9,"Explicitly advertises professional GOÄ private billing; regional market leader."
"PVS berlin-brandenburg-hamburg GmbH & Co. KG","1","Abrechnungsstelle","multi-specialty PVS","Berlin, Berlin","https://www.pvs-bbh.de/","TBD","Geschäftsführung","TBD","030 319008-80","TBD","States 'ist eine privatärztliche Verrechnungsstelle und übernimmt seit 1991... die Privatabrechnung.'",9,"Serving members since 1991 with dedicated GOÄ privatärztliche Verrechnungsstelle."
"unimed Abrechnungsservice für Kliniken & Chefärzte GmbH","1","Abrechnungsstelle","Chefarzt-/Klinikabrechnung","Dillingen/Saar, Saarland","https://www.unimed.de/","Michael","Kontakt","datenschutz26@unimed.de","06871 9000 4000","TBD","Listed as 'Abrechnungsservice für Kliniken & Chefärzte' (inherently GOÄ).",9,"Specializes in high-complexity Chefarztabrechnung (GOÄ), prime for XML audit automation."
"Orthopädische Privatpraxis am Stadtwald","2","Praxis","Orthopädie","Köln, NRW","https://www.orthoinfo.de/","Dr. Stefan Porten","Facharzt","koeln@orthoinfo.de","0221 940 818 0","TBD","Listed as 'Orthopädische Privatpraxis' serving private patients.",8,"Multi-physician private practice; high GOÄ volume in orthopedics/sports medicine."
"Dr. med. Martin Ihle & Team","2","Praxis","Orthopädie","Berlin, Berlin","https://www.orthopaedie-ihle.de/","Dr. med. Martin Ihle","Facharzt","praxis@orthopaedie-ihle.de","030 747 807 36","TBD","Listed as 'Private orthopaedic practice' in Berlin-Mitte.",8,"Dedicated private orthopedic practice in Berlin-Mitte with consistent GOÄ billing."
"OrthoCenter München","2","Praxis","Orthopädie/Sportmedizin","München, Bayern","https://ortho-center.eu/","PD Dr. med. Daniel Berthold","Leitung","contact@orthocenter-muenchen.de","089 / 13 67 54 52","TBD","States 'Online-Terminvergabe für Privatpatienten und Selbstzahler.'",8,"High-end private orthopedics/sports medicine; explicitly targets private/self-pay patients."
"Eller & Kellermann GbR","2","Praxis","Orthopädie/Innere Medizin","Berlin, Berlin","https://www.eller-kellermann.de/","Dr. Gerhard Eller","Facharzt","kontakt@eller-kellermann.de","030 20214030","TBD","Listed as 'Privatpraxis Berlin-Mitte' for orthopedics and internal medicine.",8,"Prominent private practice for orthopedics and internal medicine in Berlin-Mitte."
